nombre,dia_nacimiento,estado,pais,profesion,fase_luna
FELIX MENDELSSOHN,3-FEBRERO,HAMBURG,ALEMANIA,MÚSICO,PRIMER MENGUANTE
FIDEL CASTRO,13-AGOSTO,PROVINCIA DE ORIENTE,CUBA,DICTADOR,LUNA LLENA
FRANCIS BACON,22-ENERO,LONDRES,INGLATERRA,FILÓSOFO,SEGUNDO MENGUANTE
FRANCIS FORD COPPOLA,7-ABRIL,"DETROIT,MICHIGAN",USA,CINEASTA,PRIMER MENGUANTE
FRANCIS SCOTT FITZGERALD,24-SEPTIEMBRE,ST.PAUL MINESSOTA,USA,ESCRITOR,LUNA LLENA
FRANCIS SCOTT KEY,1-AGOSTO,"TERRA RUBRA,MARYLAND",USA,ESCRITOR,PRIMER MENGUANTE
FRANCISCO FRANCO,4-DICIEMBRE,EL FERROL,ESPAÑA,DICTADOR,LUNA LLENA
FRANCISCO GOYA,30-MARZO,ZARAGOSA,ESPAÑA,PINTOR,CUARTO CRECIENTE
FRANCISCO MORAZÁN,3-OCTUBRE,TEGUCIGALPA,HONDURAS,MILITAR,SEGUNDO CRECIENTE
FRANK  CAPRA,18-MAYO,PALERMO,ITALIA,CINEASTA,LUNA LLENA
FRANK SINATRA,12-DICIEMBRE,"HOBOKEN,N .J.",USA,CANTANTE,CUARTO CRECIENTE
FRANKLIN D. ROOSEVELT,30-ENERO,NEW YORK,USA,POLÍTICO,SEGUNDO CRECIENTE
FRANZ KAFKA,3-JULIO,PRAGA,CHECOSLOVAQUIA,ESCRITOR,SEGUNDO MENGUANTE
FREDERIC REMINGTON,4-OCTUBRE,"CANTON,N.Y.",USA,PINTOR,LUNA NUEVA
FRIDA KAHLO,6-JULIO,C. MÉXICO,MÉXICO,PINTORA,SEGUNDO MENGUANTE
FRIEDRICH SCHILLER,10-NOVIEMBRE,MARBACH,ALEMANIA,ESCRITOR,PRIMER MENGUANTE
GABRIEL GARCÍA MÁRQUEZ,6-MARZO,ARACATACA,COLOMBIA,ESCRITOR,LUNA LLENA
GABRIELA MISTRAL,7-ABRIL,VICUÑA,CHILE,ESCRITORA,CUARTO CRECIENTE
GABRIELA SABATINI,16-MAYO,BUENOS AIRES,ARGENTINA,TENISTA,SEGUNDO CRECIENTE
GALILEO,15-FEBRERO,PISA,ITALIA,CIENTÍFICO,CUARTO MENGUANTE
GAMAL ABDEL-NASSER,15-ENERO,ALEJANDRÍA,EGIPTO,POLÍTICO,PRIMER CRECIENTE
GARRINCHA,28-OCTUBRE,PALO GRANDE,BRASIL,FUTBOLISTA,CUARTO CRECIENTE
